NameCheck_ScanBannedWords	8009A918	r19	init:mr r19, r21	auto_NameCheck_ScanBanned_text.s
NameCheck_ScanBannedWords	8009AC1C	r19	init:mr r19, r21	auto_NameCheck_ScanBanned_text.s
NameCheck_ScanBannedWords	8009B084	r9	init:li r9, 0x0	auto_NameCheck_ScanBanned_text.s
NameCheck_ScanBannedWords	8009B0FC	r9	init:li r9, 0x0	auto_NameCheck_ScanBanned_text.s
NameCheck_ScanBannedWords	8009B420	r20	init:li r20, 0x0	auto_NameCheck_ScanBanned_text.s
NameCheck_ScanBannedWords	8009B4FC	r20	init:mr r20, r19	auto_NameCheck_ScanBanned_text.s
NameCheck_ScanBannedWords	8009B800	r20	init:mr r20, r19	auto_NameCheck_ScanBanned_text.s
PhysicsState_WallCollisionCheck	801ED33C	r4	init:mr r4, r5	auto_PhysicsState_WallCol_text.s
TitleCheck_NewClearedCountStep	800A876C	r7	init:li r7, 0x0	auto_RankLog_SetRaceResul_text.s
ShadowAreaMgr_QueryPoint	800AAD70	r3	init:li r3, 0x0	auto_ShadowAreaMgr_BuildF_text.s
ShadowBillboard_Tick	8006227C	r4	init:mr r4, r5	auto_ShadowBillboard_SetF_text.s
ShadowBillboard_Tick	800625C0	r4	init:mr r4, r5	auto_ShadowBillboard_SetF_text.s
ShadowBillboard_Tick	80062B3C	r4	init:mr r4, r5	auto_ShadowBillboard_SetF_text.s
ShadowBillboard_Tick	80062E80	r4	init:mr r4, r5	auto_ShadowBillboard_SetF_text.s
ShadowBillboard_Tick	80063244	r4	init:mr r4, r5	auto_ShadowBillboard_SetF_text.s
Camera_RotateByYaw	800640D0	r4	init:mr r4, r5	auto_ShadowBillboard_SetF_text.s
PlayCamera_Init	800645CC	r4	init:mr r4, r5	auto_ShadowBillboard_SetF_text.s
SoundMgr_Play	80192D74	r9	init:li r9, 0x0	auto_SoundMgr_Play_text.s
SuikaBall_Init	80133AF0	r4	init:li r4, 0x0	auto_SuikaBall_Update_text.s
TornadoEffect_ComposeRenderMatrix	80057C3C	r5	init:mr r5, r6	auto_TornadoEffect_Compos_text.s
TornadoEffect_ComposeRenderMatrix	80057F64	r4	init:mr r4, r5	auto_TornadoEffect_Compos_text.s
TornadoEffect_ComposeRenderMatrix	80058204	r21	init:mr r21, r20	auto_TornadoEffect_Compos_text.s
clItemBoxResponder_DrawDebrisParticle	8005DD88	r4	init:mr r4, r5	auto_clItemBoxResponder_D_text_3.s
clItemBoxResponder_DrawDebrisParticle	8005E0B4	r4	init:mr r4, r5	auto_clItemBoxResponder_D_text_3.s
ItemEffectSpin_TickWorker	80054EC4	r4	init:mr r4, r5	auto_dtor_80054B2C_text.s
ExplosionTumble_Update	80055358	r4	init:mr r4, r5	auto_dtor_80054B2C_text.s
TornadoLift_Update	800559D0	r4	init:mr r4, r5	auto_dtor_80054B2C_text.s
ItemEffectImpact_Tick	80055D88	r4	init:mr r4, r5	auto_dtor_80054B2C_text.s
fn_80105800	80105BB0	r7	init:li r7, 0x0	auto_fn_80105800_text.s
